Category,Name,Url,Image
Featherweight,Gabriel Benitez,/fighter/gabriel-benitez,//media.ufc.tv/fighter_images/Gabriel_Benitez/BENITEZ_GABRIEL_211.png
Featherweight,Dennis Bermudez,/fighter/dennis-Bermudez,//media.ufc.tv/fighter_images//Dennis_Bermudez/BERMUDEZ_DENNIS.png
Featherweight,Matt Bessette,/fighter/matt-Bessette,//media.ufc.tv/fighter_images/Matt_Bessette/BESSETTE_MATT.png
Featherweight,Kyle Bochniak,/fighter/kyle-Bochniak,//media.ufc.tv/fighter_images/Kyle_Bochniak/BOCHNIAK_KYLE.png
Featherweight,Wuliji Buren,/fighter/wuliji-Buren,//media.ufc.tv/fighter_images/Wuliji_Buren/BUREN_WULIJI.png
Featherweight,Shane Burgos,/fighter/shane-burgos,//media.ufc.tv/fighter_images/Shane_Burgos/BURGOS_SHANE.png
Featherweight,Martin Buschkamp,/fighter/martin-Buschkamp,//media.ufc.tv/fighter_images//ComingSoon/comingsoon_headshot_odopod.png
Featherweight,Alex Caceres,/fighter/alex-Caceres,//media.ufc.tv/fighter_images/Alex_Caceres/CACERES_ALEX.png
Featherweight,Mark Cherico,/fighter/mark-Cherico,//media.ufc.tv/fighter_images/Mark_Cherico/CHERICO_MARK.png
Featherweight,Dooho Choi,/fighter/dooho-Choi,//media.ufc.tv/fighter_images/Dooho_Choi/CHOI_DOOHO.png
Featherweight,Brandon  Davis,/fighter/brandon-Davis,//media.ufc.tv/fighter_images/Brandon_Davis/DAVIS_BRANDON.png
Featherweight,Grant Dawson,/fighter/grant-Dawson,//media.ufc.tv/fighter_images/Grant_Dawson/DAWSON_GRANT.png
Featherweight,Adrian Diaz,/fighter/adrian-Diaz,//media.ufc.tv/fighter_images/Adrian_Diaz/DIAZ_ADRIAN.png
Featherweight,Russell Doane,/fighter/russell-Doane,//media.ufc.tv/fighter_images/Russell_Doane/DOANE_RUSSELL_singapore.png
Featherweight,Rolando Dy,/fighter/rolando-Dy,//media.ufc.tv/fighter_images//Rolando_Dy/1DY_ROLANDO.png
Featherweight,Frankie Edgar,/fighter/frankie-Edgar,//media.ufc.tv/fighter_images/Frankie_Edgar/EDGAR_FRANKIE_211.png
Featherweight,Darren Elkins,/fighter/darren-Elkins,//media.ufc.tv/fighter_images/Darren_Elkins/ELKINS_DARREN.png
Featherweight,Josh Emmett,/fighter/josh-emmett,//media.ufc.tv/fighter_images/Josh_Emmett/EMMETT_JOSH.png
Featherweight,Andre Fili,/fighter/andre-Fili,//media.ufc.tv/fighter_images/Andre_Fili/FILI_ANDRE.png
Featherweight,Luis Gomez,/fighter/luis-Raul-Gomez,//media.ufc.tv/fighter_images/Luis_Gomez/GOMEZ_LUIS.png
Featherweight,Wang Guan,/fighter/wang-Guan,//media.ufc.tv/fighter_images/Wang_Guan/WANG_GUAN.png
Featherweight,Clay Guida,/fighter/clay-Guida,//media.ufc.tv/fighter_images/Clay_Guida/GUIDA_CLAY.png
Featherweight,Ryan Hall,/fighter/ryan-Hall,//media.ufc.tv/fighter_images/Ryan_Hall/HALL_RYAN.png
Featherweight,Jimy Hettes,/fighter/jim-Hettes,//media.ufc.tv/fighter_images/Jimy_Hettes/JimyHettes_Headshot.png
Featherweight,Mizuto Hirota,/fighter/mizuto-hirota,//media.ufc.tv/fighter_images//Mizuto_Hirota/1HIROTA_MIZUTO.png
Featherweight,Max Holloway,/fighter/max-Holloway,//media.ufc.tv/fighter_images/Max_Holloway/HOLLOWAY_MAX_212.png
Featherweight,Kurt Holobaugh,/fighter/kurt-holobaugh,//media.ufc.tv/fighter_images/Kurt_Holobaugh/HOLOGAUGH_KURT.png
Featherweight,Dan Hooker,/fighter/dan-Hooker,//media.ufc.tv/fighter_images/Dan_Hooker/HOOKER_DAN.png
Featherweight,Dan Ige,/fighter/dan-Ige,//media.ufc.tv/fighter_images/Dan_Ige/IGE_DAN.png
Featherweight,Teruto Ishihara,/fighter/teruto-ishihara,//media.ufc.tv/fighter_images//Teruto_Ishibara/1ISHIHARA_TERUTO.png
Featherweight,Rony Jason,/fighter/rony-Jason,//media.ufc.tv/fighter_images/Rony_Jason/JASON_RONY.png
Featherweight,Chan Sung Jung,/fighter/chan-Sung-Jung,//media.ufc.tv/fighter_images/Chan_Sung_Jung/SUNG-JUNG_CHAN.png
Featherweight,Myles Jury,/fighter/myles-Jury,//media.ufc.tv/fighter_images/Miles_Jury/JURY_MYLES.png
Featherweight,Calvin Kattar,/fighter/calvin-Kattar,//media.ufc.tv/fighter_images/calvin_kattar/KATTAR_CALVIN.png
Featherweight,Jeremy Kennedy,/fighter/jeremy-kennedy,//media.ufc.tv/fighter_images/Jeremy_Kennedy/KENNEDY_JEREMY.png
Featherweight,Jason Knight,/fighter/jason-knight,//media.ufc.tv/fighter_images/Jason_Knight/KNIGHT_JASON_211.png
Featherweight,Ricardo Lamas,/fighter/ricardo-Lamas,//media.ufc.tv/fighter_images/Ricardo_Lamas/LAMAS_RICARDO.png
Featherweight,Thanh  Le,/fighter/thanh-Le,//media.ufc.tv/fighter_images/Thanh_Le/LE_THANH.png
Featherweight,Artem Lobov,/fighter/artem-Lobov,//media.ufc.tv/fighter_images/Artem_Lobov/LOBOV_ARTEM.png
Featherweight,Zabit Magomedshari...,/fighter/zabit-Magomedsharipov,//media.ufc.tv/fighter_images/Zabit_Magomedsharipov/MAGOMEDSHARIPOV_ZABIT.png
Featherweight,Gray Maynard,/fighter/gray-Maynard,//media.ufc.tv/fighter_images/Gray_Maynard/MAYNARD_GRAY2.png
Featherweight,Chad Mendes,/fighter/chad-Mendes,//media.ufc.tv/fighter_images/Chad_Mendes/MENDES_CHAD_AD.png
Featherweight,Renato Moicano,/fighter/renato-moicano,//media.ufc.tv/fighter_images/Renato_Moicano/MOICANO_RENATO.png
Featherweight,Sheymon Moraes,/fighter/sheymon-Moraes,//media.ufc.tv/fighter_images/Sheymon_Moraes/MORAES_SHEYMON.png
Featherweight,Charles Oliveira,/fighter/charles-Oliveira,//media.ufc.tv/fighter_images/Charles_Oliveira/OLIVIERA_CHARLES.png
Featherweight,Brian Ortega,/fighter/brian-Ortega,//media.ufc.tv/fighter_images/Brian_Ortega/ORTEGA_BRIAN.png
Featherweight,BJ Penn,/fighter/BJ-Penn,//media.ufc.tv/fighter_images/BJ_Penn/PENN_BJ.png
Featherweight,Godofredo Pepey,/fighter/godofredo-Castro,//media.ufc.tv/fighter_images//Godofredo_Pepey/PEPEY_GODOFREDO.png
Featherweight,Peter Petties,/fighter/peter-Petties,//media.ufc.tv/fighter_images/Pete_Petties/PETTIES_PETE.png
Featherweight,Diego Rivas,/fighter/diego-rivas,//media.ufc.tv/fighter_images/Diego_Rivas/RIVAS_DIEGO.png
Featherweight,Yair Rodriguez,/fighter/yair-rodriguez,//media.ufc.tv/fighter_images/Yair_Rodriguez/RODRIGUEZ_YAIR_211.png
Featherweight,Charles Rosa,/fighter/charles-rosa,//media.ufc.tv/fighter_images//Charles_Rosa/1ROSA_CHARLES.png
Featherweight,Luke Sanders,/fighter/luke-Sanders,//media.ufc.tv/fighter_images//Luke_Sanders/1SANDERS_LUKE.png
Featherweight,Mike Santiago,/fighter/mike-Santiago,//media.ufc.tv/fighter_images/Mike_Santiago/SANTIAGO_MIKE.png
Featherweight,Dennis Siver,/fighter/dennis-Siver,//media.ufc.tv/fighter_images/Dennis_Siver/SIVER_DENNIS.png
Featherweight,Chas Skelly,/fighter/chas-Skelly,//media.ufc.tv/fighter_images/Chas_Skelly/SKELLY_CHAS_211.png
Featherweight,Jeremy Stephens,/fighter/jeremy-Stephens,//media.ufc.tv/fighter_images/Jeremy_Stephens/STEPHENS_JEREMY.png
Featherweight,Lazar  Stojadinovic,/fighter/lazar-Stojadinovic,//media.ufc.tv/fighter_images/Lazar_Stojadinovic/STOJADINOVIC_LAZAR.png
Featherweight,Cub Swanson,/fighter/cub-Swanson,//media.ufc.tv/fighter_images/Cub_Swanson/SWANSON_CUB_NASHVILLE.png
Featherweight,Gavin Tucker,/fighter/gavin-Tucker,//media.ufc.tv/fighter_images/Gavin_Tucker/TUCKER_GAVIN.png
Featherweight,Zubaira Tukhugov,/fighter/zubaira-Tukhugov,//media.ufc.tv/fighter_images/Zubaira_Tukhugov/TUKHUGOV_ZUBAIRA.png
Featherweight,Alexander Volkanov...,/fighter/alex-volkanovski,//media.ufc.tv/fighter_images/Alex_Volkanovski/VOLKANOVSKI_ALEXANDER.png
