Category,Name,Url
Lightweight,Michel Prazeres,/fighter/michel-Prazeres
Lightweight,Claudio Puelles,/fighter/claudio-puelles
Lightweight,Michel Quinones,/fighter/michael-quinones
Lightweight,Stevie Ray,/fighter/stevie-ray
Lightweight,Marco Polo Reyes,/fighter/polo-reyes
Lightweight,Jordan Rinaldi,/fighter/jordan-rinaldi
Lightweight,Jason Saggo,/fighter/jason-Saggo
Lightweight,Diego Sanchez,/fighter/diego-Sanchez
Lightweight,Leonardo Santos,/fighter/leonardo-santos
Lightweight,Felipe Silva,/fighter/felipe-silva
Lightweight,Joaquim Silva,/fighter/joaquim-silva
Lightweight,Mairbek Taisumov,/fighter/mairbek-Taisumov
Lightweight,Daniel Teymur,/fighter/daniel-Teymur
Lightweight,David Teymur,/fighter/david-Teymur
Lightweight,Gleison Tibau,/fighter/gleison-Tibau
Lightweight,Francisco Trinaldo,/fighter/francisco-Trinaldo
Lightweight,Abel Trujillo,/fighter/abel-Trujillo
Lightweight,Jon Tuck,/fighter/jon-Tuck
Lightweight,Lando Vannata,/fighter/landon-Vannata
Lightweight,James Vick,/fighter/james-Vick
Lightweight,Chris Wade,/fighter/chris-wade
Lightweight,Alex White,/fighter/alex-White
Lightweight,Matt Wiman,/fighter/matt-Wiman
Lightweight,Tiequan Zhang,/fighter/tiequan-Zhang
Welterweight,Daichi Abe,/fighter/daichi-Abe
Welterweight,Omari Akhmedov,/fighter/omari-Akhmedov
Welterweight,Yoshihiro Akiyama,/fighter/yoshihiro-Akiyama
Welterweight,Sultan Aliev,/fighter/sultan-aliev
Welterweight,Warlley Alves,/fighter/warlley-alves
Welterweight,Shinsho Anzai,/fighter/shinsho-anzai
Welterweight,Jessin Ayari,/fighter/jessin-Ayari
Welterweight,Siyar Bahadurzada,/fighter/siyar-Bahadurzada
Welterweight,Bryan Barberena,/fighter/bryan-Barberena
Welterweight,Galore Bofando,/fighter/galore-Bofando
Welterweight,Tom Breese,/fighter/tom-breese
Welterweight,Matt Brown,/fighter/matt-Brown
Welterweight,Randy Brown,/fighter/randy-Brown
Welterweight,Joshua Burkman,/fighter/josh-Burkman
Welterweight,Brian Camozzi,/fighter/brian-camozzi
Welterweight,Donald Cerrone,/fighter/donald-Cerrone
Welterweight,Luan Chagas,/fighter/luan-chagas
Welterweight,Carlos Condit,/fighter/carlos-Condit
Welterweight,Michael Cora,/fighter/michael-Cora
Welterweight,Colby Covington,/fighter/colby-Covington
Welterweight,Nathan Coy,/fighter/nathan-coy
Welterweight,Zak Cummings,/fighter/zak-Cummings
Welterweight,Nate Diaz,/fighter/nate-Diaz
Welterweight,Rafael Dos Anjos,/fighter/rafael-Dos-Anjos
Welterweight,Leon Edwards,/fighter/leon-edwards
Welterweight,Jake Ellenberger,/fighter/jake-Ellenberger
Welterweight,Oliver Enkamp,/fighter/oliver-Enkamp
Welterweight,Mickey Gall,/fighter/mickey-Gall
Welterweight,Tom Gallicchio,/fighter/tom-Gallicchio
Welterweight,Alex Garcia,/fighter/alex-Garcia
Welterweight,Lyman Good,/fighter/lyman-good
Welterweight,Max Griffin,/fighter/max-griffin
Welterweight,Dan Hardy,/fighter/dan-Hardy
Welterweight,John Hathaway,/fighter/john-Hathaway
Welterweight,Alvaro Herrera,/fighter/alvaro-herrera
Welterweight,Sabah Homasi,/fighter/sabah-homasi
Welterweight,Jason Jackson,/fighter/jason-jackson
Welterweight,Li Jingliang,/fighter/li-Jingliang
Welterweight,Alan Jouban,/fighter/alan-Jouban
Welterweight,Luke Jumeau,/fighter/luke-Jumeau
Welterweight,Song Kenan,/fighter/kenan-Song
Welterweight,Adam Khaliev,/fighter/adam-Khaliev
Welterweight,Dong Hyun Kim,/fighter/dong-Hyun-Kim
Welterweight,James Krause,/fighter/james-Krause
Welterweight,Pascal Krauss,/fighter/pascal-Krauss
Welterweight,Kiichi Kunimoto,/fighter/kiichi-Kunimoto
Welterweight,Ryan LaFlare,/fighter/ryan-LaFlare
